Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	-1292.97	7.85369	-286.306	2.58857	0.000455912
2	1000	-1270.63	7.63375	-283.734	2.62747	0.000816869
4	1000	-1185.28	7.44306	-263.295	2.51095	0.00157319
8	1000	-1061.63	7.4433	-236.412	2.4449	0.00311024
16	1000	-814.851	6.85111	-183.464	2.33603	0.00624498
32	1000	-531.132	6.02364	-123.207	2.07414	0.0126323
64	1000	-309.507	4.92456	-71.9323	1.66426	0.0267118
128	1000	-138.699	3.5129	-32.4178	1.2016	0.0537329
256	1000	-63.475	2.63809	-17.9786	0.91773	0.110284
