Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	-21.446	0.931174	-21.02	0.911176	8.35e-06
2	1000	-19.218	0.932175	-18.9779	0.920539	9.778e-06
4	1000	-22.986	0.930757	-22.6683	0.9171	7.382e-06
8	1000	-19.765	0.932645	-19.5191	0.920877	1.2896e-05
16	1000	-22.326	0.933223	-21.9648	0.917896	1.5287e-05
32	1000	-21.826	0.932938	-21.5045	0.918711	2.208e-05
64	1000	-20.805	0.934295	-20.5406	0.922516	3.3702e-05
128	1000	-21.326	0.934843	-21.0445	0.922992	5.9316e-05
256	1000	-20.446	0.932608	-20.2495	0.923154	8.5292e-05
