Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	-1288.45	7.63518	-286.784	2.61719	0.000440479
2	1000	-1279.26	7.59202	-285.91	2.66871	0.00078953
4	1000	-374.315	5.93116	-82.9644	2.09303	0.00152971
8	1000	-48.524	4.97327	-10.4363	1.65407	0.00309439
16	1000	218.549	3.59664	48.9552	1.25759	0.00606079
32	1000	394.465	2.30741	87.3142	0.767715	0.0135345
64	1000	483.384	1.62695	107.05	0.551366	0.0263644
128	1000	533.195	1.49806	117.637	0.496778	0.0552694
256	1000	553.778	1.47544	123.157	0.495	0.115323
